Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-io,RandomForest,0,model1,ENN,0.8619074652284985,0.5032760233030891,0.9101283288914273,[0.92534336 0.08120869],0.8619074652284985,0.33858267716535434,0.8715132244544009,0.6050479508098777,"[18090, 2667, 252, 129]"
commons-io,DT,0,model1,ENN,0.7946352540448481,0.47819286269623434,0.8698962929932608,[0.8845448  0.07184092],0.7946352540448481,0.4409448818897638,0.8011273305390952,0.6210361062144296,"[16629, 4128, 213, 168]"
commons-io,LogisticRegression,0,model1,ENN,0.7021950988740656,0.44689698845054104,0.8091248484874284,[0.82267106 0.07112292],0.7021950988740656,0.6325459317585301,0.7034735270029387,0.6680097293807346,"[14602, 6155, 140, 241]"
commons-io,MLP,0,model1,ENN,0.9779543949285646,0.5049300390012464,0.9714068697231049,[0.98885167 0.0210084 ],0.9779543949285646,0.013123359580052493,0.9956641133111721,0.5043937364456123,"[20667, 90, 376, 5]"
commons-io,RandomForest,0,model2,ENN,0.9428044280442804,0.6023090865232538,0.9570272765550775,[0.97029265 0.23432552],0.9428044280442804,0.48556430446194226,0.9511971864913041,0.7183807454766231,"[19744, 1013, 196, 185]"
commons-io,DT,0,model2,ENN,0.9317816255085628,0.6108575270844779,0.9515091956346524,[0.96424852 0.25746653],0.9317816255085628,0.6561679790026247,0.9368405838994074,0.796504281451016,"[19446, 1311, 131, 250]"
commons-io,LogisticRegression,0,model2,ENN,0.7725423408080235,0.4827369958859801,0.8559561659107279,[0.86991342 0.09556057],0.7725423408080234,0.6666666666666666,0.7744857156621863,0.7205761911644264,"[16076, 4681, 127, 254]"
commons-io,MLP,0,model2,ENN,0.9808875011827042,0.695441200113496,0.9796600151343222,[0.99028893 0.40059347],0.9808875011827042,0.3543307086614173,0.9923881100351689,0.6733594093482932,"[20599, 158, 246, 135]"
commons-io,RandomForest,0,model3,ENN,0.8802630333995648,0.5432729123529481,0.9214472091225611,[0.93558977 0.15095606],0.8802630333995648,0.5905511811023622,0.8855807679337091,0.7380659745180356,"[18382, 2375, 156, 225]"
commons-io,DT,0,model3,ENN,0.8795061027533352,0.5426531702404306,0.9210069188145414,[0.93515619 0.15015015],0.8795061027533352,0.5905511811023622,0.8848099436334731,0.7376805623679176,"[18366, 2391, 156, 225]"
commons-io,LogisticRegression,0,model3,ENN,0.8134639038698078,0.4932511222806418,0.8815541418402949,[0.89607549 0.09042676],0.8134639038698079,0.5144356955380578,0.8189526424820542,0.666694169010056,"[16999, 3758, 185, 196]"
commons-io,MLP,0,model3,ENN,0.9784747847478474,0.6221993560593487,0.9758539638908316,[0.98907956 0.25531915],0.9784747847478474,0.2047244094488189,0.9926771691477574,0.5987007892982882,"[20605, 152, 303, 78]"
commons-io,RandomForest,0,model1,TL,0.8659759674519822,0.5011213490094293,0.9123775146002607,[0.92775724 0.07448546],0.8659759674519822,0.2992125984251969,0.8763790528496411,0.587795825637419,"[18191, 2566, 267, 114]"
commons-io,DT,0,model1,TL,0.7972372031412622,0.47943495716549306,0.8715116442569361,[0.88617411 0.0726958 ],0.7972372031412622,0.4409448818897638,0.8037770390711567,0.6223609604804603,"[16684, 4073, 213, 168]"
commons-io,LogisticRegression,0,model1,TL,0.7105213359825907,0.45007009890121735,0.814884452841553,[0.82852739 0.07161281],0.7105213359825906,0.6194225721784777,0.7121934768993593,0.6658080245389184,"[14783, 5974, 145, 236]"
commons-io,MLP,0,model1,TL,0.981975588986659,0.49545291800930896,0.9730453419547003,[0.99090584 0.        ],0.981975588986659,0.0,1.0,0.5,"[20757, 0, 381, 0]"
commons-io,RandomForest,0,model2,TL,0.9439871321790141,0.5902887764882253,0.9572418159767951,[0.97096474 0.20961282],0.9439871321790141,0.4120734908136483,0.9537505419858361,0.6829120163997422,"[19797, 960, 224, 157]"
commons-io,DT,0,model2,TL,0.9348566562588703,0.6065425134374864,0.9529990349626051,[0.96595545 0.24712958],0.9348566562588703,0.5931758530183727,0.9411282940694705,0.7671520735439217,"[19535, 1222, 155, 226]"
commons-io,LogisticRegression,0,model2,TL,0.7759485287160564,0.4849973223449159,0.8581356519659101,[0.87208988 0.09790476],0.7759485287160564,0.6745406824146981,0.7778098954569542,0.7261752889358262,"[16145, 4612, 124, 257]"
commons-io,MLP,0,model2,TL,0.983867915602233,0.6736096360092977,0.9803602160949715,[0.99183175 0.35538752],0.983867915602233,0.24671916010498687,0.9973984679867033,0.6220588140458451,"[20703, 54, 287, 94]"
commons-io,RandomForest,0,model3,TL,0.8803576497303436,0.5433506720491798,0.9215022320046506,[0.93564394 0.1510574 ],0.8803576497303435,0.5905511811023622,0.8856771209712386,0.7381141510368003,"[18384, 2373, 156, 225]"
commons-io,DT,0,model3,TL,0.879600719084114,0.5427304122146501,0.9210619655835633,[0.93521041 0.15025042],0.879600719084114,0.5905511811023622,0.8849062966710025,0.7377287388866822,"[18368, 2389, 156, 225]"
commons-io,LogisticRegression,0,model3,TL,0.8246286309016937,0.4992663664310157,0.8883491471607846,[0.90289965 0.09563308],0.8246286309016936,0.5144356955380578,0.8303223009105362,0.672378998224297,"[17235, 3522, 185, 196]"
commons-io,MLP,0,model3,TL,0.981975588986659,0.49545291800930896,0.9730453419547003,[0.99090584 0.        ],0.981975588986659,0.0,1.0,0.5,"[20757, 0, 381, 0]"
