Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Constructor,"org.apache.mina.management.MINAStatCollector.Worker.Worker()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.Worker.run()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,16,71,9,58,18,43,4,23,9,37,44,17,35,6,6,6,1,,,,,,4,,0,07,6,6,6,1
Private Method,"org.apache.mina.management.MINAStatCollector.addSession(IoSession)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,6,8,0,8,2,5,0,5,1,5,6,2,5,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.getBytesRead()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.getBytesWritten()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.getMsgRead()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.getMsgWritten()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.getQueuedEvents()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.getScheduledWrites()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.getSessionCount()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
