Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Interface,"Java8Example",test/resources/Java8Example.java,1,1,1,1,7,1,6,0,0,8,0,,0,0,,,1,0,1,1,1,0,0,0,,10,2,8,4,4,0,,,4,6,4,4,,,,,1,1,1,1,0,0,0,0,00,2,2,2,2
Method,"Java8Example.hello()",test/resources/Java8Example.java,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,6,3,4,0,6,1,4,5,3,4,1,1,1,1,,,,,,0,,0,00,2,2,2,2
Lambda Method,"Java8Example.hello.(lambda_expr_1)(String)",test/resources/Java8Example.java,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,2,1,0,0,0,0,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Package,"Mini",examples/Mini/ASCII_CharStream.java,3,2,3,1,15,0,12,1,,,,27,108,76,26,,192,117,300,,64,43,2,191,,5895,700,4157,938,2683,1135,,,2204,3019,937,2191,,,,,36,29,37,22,,6,,0,27,969,813,1017,427
Public Final Class,"Mini.ASCII_CharStream",examples/Mini/ASCII_CharStream.java,2,2,2,1,11,1,10,0,1,8,0,,18,15,,,4,0,22,34,0,3,0,19,,308,54,247,49,169,7,,,137,187,49,139,,,,,10,10,10,1,1,3,74,0,03,52,50,54,22
Public Constructor,"Mini.ASCII_CharStream.ASCII_CharStream(java.io.InputStream,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Constructor,"Mini.ASCII_CharStream.ASCII_CharStream(java.io.InputStream,int,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Constructor,"Mini.ASCII_CharStream.ASCII_CharStream(java.io.Reader,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Constructor,"Mini.ASCII_CharStream.ASCII_CharStream(java.io.Reader,int,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,7,14,1,13,1,10,0,10,2,8,10,1,9,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Static Method,"Mini.ASCII_CharStream.BeginToken()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,6,2,4,0,3,1,4,5,2,4,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.Done()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,1,3,0,3,1,3,4,1,3,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Private Static Method,"Mini.ASCII_CharStream.ExpandBuff(boolean)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,9,40,8,32,4,28,0,11,3,24,27,4,23,3,3,3,1,,,,,,2,,0,00,3,3,3,1
Private Static Method,"Mini.ASCII_CharStream.FillBuff()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,9,36,1,35,2,26,0,8,28,15,25,2,23,10,10,10,1,,,,,,3,,0,00,10,10,10,1
Public Static Method,"Mini.ASCII_CharStream.GetImage()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,6,1,3,0,2,2,2,4,1,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Static Method,"Mini.ASCII_CharStream.GetSuffix(int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,12,2,10,2,7,0,2,2,5,7,2,5,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Static Method,"Mini.ASCII_CharStream.ReInit(java.io.InputStream,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.ReInit(java.io.InputStream,int,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.ReInit(java.io.Reader,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.ReInit(java.io.Reader,int,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,8,15,1,14,1,11,0,14,2,10,12,1,11,2,2,3,1,,,,,,1,,0,00,2,2,3,1
Private Static Method,"Mini.ASCII_CharStream.UpdateLineColumn(char)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,7,33,3,30,1,25,0,6,16,16,21,1,20,7,5,7,1,,,,,,2,,0,00,7,5,7,1
Public Static Method,"Mini.ASCII_CharStream.adjustBeginLineColumn(int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,8,40,6,31,5,23,3,4,16,17,23,5,18,6,6,7,1,,,,,,3,,0,10,6,6,7,1
Public Static Method,"Mini.ASCII_CharStream.backup(int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,5,7,1,6,1,3,0,2,2,2,4,1,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Static Method,"Mini.ASCII_CharStream.getBeginColumn()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.getBeginLine()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.getEndColumn()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.getEndLine()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.readChar()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,14,15,3,12,2,8,0,5,3,6,9,2,7,4,4,4,1,,,,,,1,,0,00,4,4,4,1
Public Class,"Mini.ASTExpr",examples/Mini/ASTExpr.java,2,1,3,1,11,0,10,1,3,23,7,,3,0,,,24,8,27,52,5,2,0,20,,378,52,281,46,200,62,,,146,196,46,153,,,,,21,7,21,1,2,2,81,0,22,75,48,82,27
Constructor,"Mini.ASTExpr.ASTExpr(ASTExpr[],int,int,int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,7,4,0,4,1,2,0,3,1,2,3,1,2,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Constructor,"Mini.ASTExpr.ASTExpr(MiniParser,int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,10,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Constructor,"Mini.ASTExpr.ASTExpr(int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,9,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Constructor,"Mini.ASTExpr.ASTExpr(int,int,int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,5,1,3,0,4,1,3,4,1,3,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Constructor,"Mini.ASTExpr.ASTExpr(int,int,int,int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,1,2,0,3,1,2,3,1,2,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.byte_code(InstructionList,MethodGen,ConstantPoolGen)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,32,96,7,85,3,78,9,16,28,53,58,3,55,21,5,21,1,,,,,,2,,0,11,21,5,21,1
Public Method,"Mini.ASTExpr.closeNode()",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,8,2,4,6,3,2,3,5,1,4,2,2,2,1,,,,,,1,,0,75,2,2,2,1
Public Method,"Mini.ASTExpr.code(StringBuffer)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,21,63,4,56,4,51,3,5,15,33,37,4,36,15,4,15,1,,,,,,2,,0,05,15,4,15,1
Public Method,"Mini.ASTExpr.dump(String)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,6,10,1,9,2,4,0,2,3,2,6,2,4,3,3,3,1,,,,,,2,,0,00,3,3,3,1
Public Method,"Mini.ASTExpr.eval(int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,19,42,6,28,2,22,12,8,15,12,20,3,17,7,7,13,1,,,,,,2,,0,43,7,7,13,1
Public Method,"Mini.ASTExpr.getColumn()",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,11,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.getKind()",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.getLine()",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,11,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.getType()",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,8,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.getUnOp()",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.isSimple()",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASTExpr.jjtCreate(MiniParser,int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.setColumn(int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.setKind(int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.setLine(int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.setPosition(int,int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,9,4,0,4,1,2,0,2,1,2,3,1,2,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.setType(int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.setUnOp(int)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Private Static Method,"Mini.ASTExpr.toBool(String)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Private Static Method,"Mini.ASTExpr.toInt(String)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTExpr.toString()",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,12,15,1,11,4,7,3,2,3,5,8,3,5,4,4,4,1,,,,,,1,,0,27,4,4,4,1
Public Method,"Mini.ASTExpr.traverse(Environment)",examples/Mini/ASTExpr.java,,,,,,,,,,,,,,,,,,,,,,,,,11,15,2,10,1,6,5,3,3,6,9,2,7,3,3,4,1,,,,,,1,,0,50,3,3,4,1
Public Class,"Mini.ASTFactor",examples/Mini/ASTFactor.java,1,1,1,1,4,0,4,0,1,3,0,,1,0,,,3,0,4,56,2,0,0,2,,30,4,18,6,6,8,,,5,11,5,6,,,,,2,2,2,1,3,1,0,0,44,5,5,5,4
Constructor,"Mini.ASTFactor.ASTFactor(MiniParser,int)",examples/Mini/ASTFactor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Constructor,"Mini.ASTFactor.ASTFactor(int)",examples/Mini/ASTFactor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASTFactor.jjtCreate(MiniParser,int)",examples/Mini/ASTFactor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Mini.ASTFactor.traverse(Environment)",examples/Mini/ASTFactor.java,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,7,2,3,3,3,2,2,4,1,3,2,2,2,1,,,,,,1,,0,43,2,2,2,1
