Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"JasminVisitor.visitExceptionTable(ExceptionTable)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,7,2,3,0,4,2,2,5,2,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Method,"JasminVisitor.visitField(Field)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,2,3,0,6,2,2,4,1,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Method,"JasminVisitor.visitJavaClass(JavaClass)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,17,3,14,2,10,1,11,2,8,11,2,9,2,2,2,1,,,,,,1,,0,07,2,2,2,1
Public Method,"JasminVisitor.visitMethod(Method)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,4,11,2,9,3,5,1,7,2,4,6,2,5,2,2,3,1,,,,,,1,,0,11,2,2,3,1
Public Method,"JasminVisitor.visitSynthetic(Synthetic)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,2,0,1,2,1,3,1,2,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Class,"Java4Example",test/resources/Java4Example.java,3,2,3,1,13,0,13,0,1,9,0,,2,0,,,2,0,4,16,2,0,0,2,,64,5,54,6,37,5,,,22,34,7,27,,,,,4,4,4,1,1,2,0,0,09,14,10,14,4
Method,"Java4Example.lookupSwitch(int)",test/resources/Java4Example.java,,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,15,1,12,0,2,4,7,9,1,8,4,2,4,1,,,,,,1,,0,00,4,2,4,1
Public Static Method,"Java4Example.main(String[])",test/resources/Java4Example.java,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,2,0,1,2,3,5,2,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Static Method,"Java4Example.serialize(Serializable,OutputStream)",test/resources/Java4Example.java,,,,,,,,,,,,,,,,,,,,,,,,,2,20,1,17,2,11,2,4,6,5,10,2,8,4,4,4,1,,,,,,2,,0,12,4,4,4,1
Method,"Java4Example.tableSwitch(int)",test/resources/Java4Example.java,,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,15,1,12,0,2,4,7,9,1,8,4,2,4,1,,,,,,1,,0,00,4,2,4,1
Public Interface,"Java8Example",test/resources/Java8Example.java,1,1,1,1,7,1,6,0,0,8,0,,0,0,,,1,0,1,1,1,0,0,0,,10,2,8,4,4,0,,,4,6,4,4,,,,,1,1,1,1,0,0,0,0,00,2,2,2,2
Method,"Java8Example.hello()",test/resources/Java8Example.java,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,6,3,4,0,6,1,4,5,3,4,1,1,1,1,,,,,,0,,0,00,2,2,2,2
Lambda Method,"Java8Example.hello.(lambda_expr_1)(String)",test/resources/Java8Example.java,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,2,1,0,0,0,0,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Class,"Java8Example2",test/resources/Java8Example2.java,1,1,1,1,9,0,9,0,3,12,0,,0,26,,,5,0,5,17,4,0,0,1,,85,8,77,32,63,0,,,60,68,32,37,,,,,2,2,3,1,1,1,80,0,00,7,7,8,5
Method,"Java8Example2.check(String...)",test/resources/Java8Example2.java,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,2,0,2,2,1,3,1,2,2,2,3,1,,,,,,1,,0,00,2,2,3,1
Method,"Java8Example2.drem(double,double)",test/resources/Java8Example2.java,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Method,"Java8Example2.frem(float,float)",test/resources/Java8Example2.java,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Method,"Java8Example2.hello(String...)",test/resources/Java8Example2.java,,,,,,,,,,,,,,,,,,,,,,,,,34,31,0,31,1,29,0,13,1,29,30,1,29,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"Java8Example2.run()",test/resources/Java8Example2.java,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,1,4,0,2,2,2,4,1,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Class,"ListClass",examples/ListClass.java,6,6,6,1,28,3,24,2,1,22,0,,4,0,,,2,8,6,18,0,0,0,6,,253,29,154,36,106,74,,,78,122,43,88,,,,,14,14,14,6,1,4,66,0,48,38,38,40,11
Public Constructor,"ListClass.ListClass(boolean,boolean,boolean,boolean,boolean,boolean,List<String>)",examples/ListClass.java,,,,,,,,,,,,,,,,,,,,,,,,,8,11,0,11,2,8,0,10,1,8,9,1,8,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"ListClass.getClassDependencies(ConstantPool)",examples/ListClass.java,,,,,,,,,,,,,,,,,,,,,,,,,4,25,3,22,7,16,0,14,5,16,21,9,16,5,5,6,1,,,,,,4,,0,00,5,5,6,1
Public Method,"ListClass.list(String)",examples/ListClass.java,,,,,,,,,,,,,,,,,,,,,,,,,14,56,10,43,3,29,5,16,196,15,29,5,25,13,13,14,6,,,,,,3,,0,12,13,13,14,6
Public Static Method,"ListClass.main(String[])",examples/ListClass.java,,,,,,,,,,,,,,,,,,,,,,,,,3,58,4,53,12,45,3,9,36,26,42,14,31,14,14,14,1,,,,,,3,,0,06,14,14,14,1
Public Static Method,"ListClass.printClassDependencies(ConstantPool)",examples/ListClass.java,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,6,1,3,3,2,2,2,5,2,3,2,2,2,1,,,,,,1,,0,50,2,2,2,1
Public Static Method,"ListClass.printCode(Method[],boolean)",examples/ListClass.java,,,,,,,,,,,,,,,,,,,,,,,,,4,13,1,9,2,5,3,4,3,3,7,3,5,3,3,3,1,,,,,,2,,0,33,3,3,3,1
Public Final Class,"MaxStack",examples/MaxStack.java,7,7,8,1,40,8,32,2,1,12,0,,1,0,,,0,0,1,13,0,0,0,1,,47,9,34,9,24,6,,,16,26,11,22,,,,,7,7,8,1,1,4,0,0,18,7,7,8,1
Public Static Method,"MaxStack.main(String[])",examples/MaxStack.java,,,,,,,,,,,,,,,,,,,,,,,,,2,40,8,32,8,24,2,17,13,16,25,10,22,7,7,8,1,,,,,,4,,0,06,7,7,8,1
Package,"Mini",examples/Mini/ASCII_CharStream.java,3,2,3,1,15,0,12,1,,,,27,108,76,26,,192,117,300,,64,43,2,191,,5859,700,4157,938,2683,1099,,,2204,3019,937,2191,,,,,36,29,37,22,,6,,0,26,969,813,1017,427
Public Final Class,"Mini.ASCII_CharStream",examples/Mini/ASCII_CharStream.java,2,2,2,1,11,1,10,0,1,8,0,,18,15,,,4,0,22,34,0,3,0,19,,308,54,247,49,169,7,,,137,187,49,139,,,,,10,10,10,1,1,3,74,0,03,52,50,54,22
