file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/internal/matchers/Null.java,org.easymock.internal.matchers.Null,matches/1[java.lang.Object],false,34,0,0,0,0,2,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/MockingTest.java,org.easymock.tests.MockingTest$PackageScopeClassToMock,foo/0,false,46,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/MockingTest.java,org.easymock.tests.MockingTest$PackageScopeClassToMock,method/0,false,50,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/ConstructorCalledMockTest.java,org.easymock.samples.ConstructorCalledMockTest$TaxCalculator,rate/0,false,46,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1028,0,false
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/ConstructorCalledMockTest.java,org.easymock.samples.ConstructorCalledMockTest$TaxCalculator,tax/0,false,48,1,3,2,1,2,3,7,1,1,0,3,1,1,1,0,0,0,0,0,2,0,1,0,0,0,7,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/ConstructorCalledMockTest.java,org.easymock.samples.ConstructorCalledMockTest$TaxCalculator,TaxCalculator/1[java.math.BigDecimal[]],true,42,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/ExampleTest.java,org.easymock.samples.ExampleTest,voteForRemoval/0,false,70,6,9,0,9,1,10,9,0,0,0,10,0,0,0,0,0,0,6,1,0,0,0,0,0,0,9,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/ExampleTest.java,org.easymock.samples.ExampleTest,voteForRemovals/0,false,99,6,9,0,9,1,10,12,0,0,0,10,0,0,0,0,0,0,12,1,0,0,0,0,0,0,9,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/ExampleTest.java,org.easymock.samples.ExampleTest,answerVsDelegate/0,false,125,4,8,0,8,1,10,15,0,1,0,10,0,0,0,0,0,0,2,5,1,0,0,1,0,1,24,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/ExampleTest.java,org.easymock.samples.ExampleTest,voteAgainstRemoval/0,false,85,6,8,0,8,1,9,8,0,0,0,9,0,0,0,0,0,0,5,1,0,0,0,0,0,0,9,1,0,false
