file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/users/farah/cpmp/1.ck/easymock/test-java8/src/test/java/org/easymock/java8/Methods.java,org.easymock.java8.Methods$B,innerclass,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/PartialMockingTest.java,org.easymock.tests2.PartialMockingTest$B,innerclass,1,1,0,1,2,1,0,1,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,9,0
/users/farah/cpmp/1.ck/easymock/test-deploy/src/test/java/org/easymock/test/EasyMockTest.java,org.easymock.test.EasyMockTest,class,3,3,0,3,2,1,0,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,2,2,2,0,2,0,0,0,0,30,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/PartialMockingTest.java,org.easymock.tests2.PartialMockingTest$C,innerclass,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/DelegateToTest.java,org.easymock.tests2.DelegateToTest$IMyInterface,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/AnnotatedMockWithRunnerTest.java,org.easymock.samples.AnnotatedMockWithRunnerTest,class,8,8,0,8,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,10,0,0,0,0,0,3,0,1,0,2,0,0,0,0,30,1,0
/users/farah/cpmp/1.ck/easymock/test-java8/src/test/java/org/easymock/java8/IMethods.java,org.easymock.java8.IMethods,interface,0,6,6,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0
/users/farah/cpmp/1.ck/easymock/test-testng/src/test/java/org/easymock/itests/EasyMockListenerTest.java,org.easymock.itests.EasyMockListenerTest,class,9,9,0,9,2,2,0,10,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,2,47,0,0,0,0,0,12,0,0,0,4,0,0,2,0,32,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/DefaultClassInstantiatorTest.java,org.easymock.tests.DefaultClassInstantiatorTest$SerializableClass,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/ClassExtensionHelperTest.java,org.easymock.tests2.ClassExtensionHelperTest,class,6,6,0,6,11,1,0,23,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,1,0,1,0,0,1,0,13,55,0,0,0,3,0,3,0,10,2,15,1,0,0,2,53,1,0
