project,commit,commitprevious,release,file,method,BOM,TACH,FCH,LCH,CHO,FRCH,CHD,WCH,WCD,WFR,ATAF,LCA,LCD,CSB,CSBS,ACDF
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testNullRecordSeparatorCsv106(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithIgnoreEmptyLines(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsIgnoreEmptyLines(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithCommentStart(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithCommentStartCRThrowsException(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithQuoteChar(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testQuoteCharSameAsCommentStartThrowsException(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsSkipHeaderRecord(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testQuoteCharSameAsDelimiterThrowsException(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testSerialization(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testDelimiterSameAsCommentStartThrowsException(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithDelimiterLFThrowsException(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testDuplicateHeaderElements(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testFormat(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsIgnoreSurroundingSpaces(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsQuoteChar(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsDelimiter(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
