Dataset,Algoritm,Approach,window,model,resample,F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score
commons-bcel,RandomForest,trad,0,StrEvo,RUS,0.91640421,0.818288359555829,0.8635761589403973,0.8172639022051774,0.8404200305727872
commons-bcel,DT,trad,0,StrEvo,RUS,0.91640421,0.7972224663795376,0.8317880794701987,0.7964405560882071,0.814114317779203
commons-bcel,LogisticRegression,trad,0,StrEvo,RUS,0.91640421,0.815680759426914,0.7615894039735099,0.8169043624161074,0.7892468831948087
commons-bcel,MLP,trad,0,StrEvo,RUS,0.91640421,0.8189622337464475,0.8503311258278146,0.8182526366251198,0.8342918812264671
commons-bcel,RandomForest,trad,0,Evo,RUS,0.91640421,0.8114031232603791,0.7377483443708609,0.8130692713326941,0.7754088078517776
commons-bcel,DT,trad,0,Evo,RUS,0.91640421,0.8111394333597023,0.7377483443708609,0.8127996164908916,0.7752739804308764
commons-bcel,LogisticRegression,trad,0,Evo,RUS,0.91640421,0.8514839881632533,0.6503311258278146,0.856034276126558,0.7531827009771863
commons-bcel,MLP,trad,0,Evo,RUS,0.91640421,0.815680759426914,0.7337748344370861,0.8175335570469798,0.775654195742033
commons-bcel,RandomForest,trad,0,Str,RUS,0.91640421,0.6873223755530163,0.7298013245033113,0.6863614573346117,0.7080813909189615
commons-bcel,DT,trad,0,Str,RUS,0.91640421,0.6599572236383346,0.752317880794702,0.6578679290508149,0.7050929049227584
commons-bcel,LogisticRegression,trad,0,Str,RUS,0.91640421,0.6969617063666461,0.5960264900662252,0.699244966442953,0.647635728254589
commons-bcel,MLP,trad,0,Str,RUS,0.91640421,0.6577891066772142,0.785430463576159,0.6549017257909875,0.7201660946835733
commons-bcel,RandomForest,trad,0,StrEvo,RUS,0.91640421,0.818288359555829,0.8635761589403973,0.8172639022051774,0.8404200305727872
commons-bcel,DT,trad,0,StrEvo,RUS,0.91640421,0.7972224663795376,0.8317880794701987,0.7964405560882071,0.814114317779203
commons-bcel,LogisticRegression,trad,0,StrEvo,RUS,0.91640421,0.815680759426914,0.7615894039735099,0.8169043624161074,0.7892468831948087
commons-bcel,MLP,trad,0,StrEvo,RUS,0.91640421,0.8189622337464475,0.8503311258278146,0.8182526366251198,0.8342918812264671
commons-bcel,RandomForest,trad,0,Evo,RUS,0.91640421,0.8114031232603791,0.7377483443708609,0.8130692713326941,0.7754088078517776
commons-bcel,DT,trad,0,Evo,RUS,0.91640421,0.8111394333597023,0.7377483443708609,0.8127996164908916,0.7752739804308764
