Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-io,MLP,2,model1,SMOTE,0.8536998102661402,0.5239715174961218,0.9036974275493822,[0.92015337 0.12778967],0.8536998102661402,0.07292393579902302,0.5160493827160494,0.8608609132802681,0.6884551479981587,"[16439, 2657, 196, 209]"
commons-io,RandomForest,2,model2,SMOTE,0.9677965232552177,0.6504502869094837,0.969675221172339,[0.98350927 0.3173913 ],0.9677965232552177,0.283495145631068,0.36049382716049383,0.980676581483033,0.6705852043217634,"[18727, 369, 259, 146]"
commons-io,DT,2,model2,SMOTE,0.9244654120301523,0.5712626670358861,0.9442407747583624,[0.96040429 0.18212104],0.9244654120301523,0.1174785100286533,0.4049382716049383,0.9354838709677419,0.6702110712863402,"[17864, 1232, 241, 164]"
commons-io,LogisticRegression,2,model2,SMOTE,0.741397877031947,0.4775764128925353,0.8334060409939745,[0.8488264  0.10632642],0.741397877031947,0.0572737686139748,0.7407407407407407,0.7414118139924591,0.7410762773666,"[14158, 4938, 105, 300]"
commons-io,MLP,2,model2,SMOTE,0.9407209886672478,0.6449035514124685,0.955545931306231,[0.96900804 0.32079906],0.9407209886672478,0.2104857363145721,0.674074074074074,0.9463762044407206,0.8102251392573973,"[18072, 1024, 132, 273]"
commons-io,RandomForest,2,model3,SMOTE,0.8507256038151889,0.5346163619838845,0.9022369343500437,[0.91816827 0.15106445],0.8507256038151889,0.08564814814814815,0.6395061728395062,0.8552052785923754,0.7473557257159408,"[16331, 2765, 146, 259]"
commons-io,DT,2,model3,SMOTE,0.8507256038151889,0.5346163619838845,0.9022369343500437,[0.91816827 0.15106445],0.8507256038151889,0.08564814814814815,0.6395061728395062,0.8552052785923754,0.7473557257159408,"[16331, 2765, 146, 259]"
commons-io,LogisticRegression,2,model3,SMOTE,0.8110353315214603,0.4992198069418962,0.8779658408590157,[0.89437932 0.1040603 ],0.8110353315214605,0.05771305285868392,0.528395061728395,0.8170297444490993,0.6727124030887471,"[15602, 3494, 191, 214]"
commons-io,MLP,2,model3,SMOTE,0.8442643966976052,0.5285843042363739,0.8983284205537618,[0.91435179 0.14281682],0.8442643966976052,0.08062460165710644,0.6246913580246913,0.8489212400502724,0.7368062990374818,"[16211, 2885, 152, 253]"
commons-io,RandomForest,2,model1,ADA,0.916158145736116,0.5205624300362667,0.937976877487203,[0.9560661  0.08505876],0.9161581457361161,0.05499276410998553,0.18765432098765433,0.9316087138667783,0.5596315174272164,"[17790, 1306, 329, 76]"
