Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-bcel,RandomForest,4,model1,ADA,0.9238855756595573,0.528154278648092,0.9406728525342525,[0.96027014 0.09603842],0.9238855756595573,0.06571741511500548,0.17830609212481427,0.9411845825001723,0.5597453373124933,"[27300, 1706, 553, 120]"
commons-bcel,DT,4,model1,ADA,0.8024192189763806,0.4953590734987919,0.8711499724585138,[0.88900246 0.10171569],0.8024192189763806,0.056703672075149446,0.4933135215453195,0.8095911190788113,0.6514523203120655,"[23483, 5523, 341, 332]"
commons-bcel,LogisticRegression,4,model1,ADA,0.6887024495434483,0.45172839295780953,0.7958338637061133,[0.81218109 0.0912757 ],0.6887024495434483,0.048872972403623344,0.6894502228826151,0.6886850996345584,0.6890676612585868,"[19976, 9030, 209, 464]"
commons-bcel,MLP,4,model1,ADA,0.8351359547154553,0.516764968434631,0.8912110105390145,[0.90899961 0.12453033],0.8351359547154553,0.07078925956061839,0.5170876671619614,0.842515341653451,0.6798015044077061,"[24438, 4568, 325, 348]"
commons-bcel,RandomForest,4,model2,ADA,0.9779642171232185,0.6971143097007356,0.9755467400517349,[0.98877407 0.40545455],0.9779642171232185,0.522248243559719,0.3313521545319465,0.9929669723505482,0.6621595634412474,"[28802, 204, 450, 223]"
commons-bcel,DT,4,model2,ADA,0.9677886721250716,0.707864055621996,0.9709268939639015,[0.98342407 0.43230404],0.9677886721250716,0.3600395647873393,0.5408618127786032,0.9776942701510032,0.7592780414648032,"[28359, 647, 309, 364]"
commons-bcel,LogisticRegression,4,model2,ADA,0.8166717207453082,0.5374020350857615,0.8805307429691933,[0.89683157 0.1779725 ],0.8166717207453081,0.09905819038008745,0.87518573551263,0.815314072950424,0.845249904231527,"[23649, 5357, 84, 589]"
commons-bcel,MLP,4,model2,ADA,0.9509417433201928,0.6797933966603908,0.9610883366447256,[0.97445166 0.38513514],0.9509417433201928,0.26902654867256637,0.6775631500742942,0.9572846997172999,0.8174239248957971,"[27767, 1239, 217, 456]"
commons-bcel,RandomForest,4,model3,ADA,0.865224569560969,0.5671334092236653,0.9100550400587307,[0.92634603 0.20792079],0.865224569560969,0.11994516792323509,0.7800891530460624,0.8671998896779977,0.82364452136203,"[25154, 3852, 148, 525]"
commons-bcel,DT,4,model3,ADA,0.865224569560969,0.5671334092236653,0.9100550400587307,[0.92634603 0.20792079],0.865224569560969,0.11994516792323509,0.7800891530460624,0.8671998896779977,0.82364452136203,"[25154, 3852, 148, 525]"
commons-bcel,LogisticRegression,4,model3,ADA,0.8633714073924323,0.5663922681623312,0.9089665679671703,[0.92524105 0.20754348],0.8633714073924323,0.11948694869486949,0.7890044576523031,0.8650968765083086,0.8270506670803058,"[25093, 3913, 142, 531]"
commons-bcel,MLP,4,model3,ADA,0.8633714073924323,0.5663922681623312,0.9089665679671703,[0.92524105 0.20754348],0.8633714073924323,0.11948694869486949,0.7890044576523031,0.8650968765083086,0.8270506670803058,"[25093, 3913, 142, 531]"
