Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-csv,LogisticRegression,2,model1,ROS,0.7625079164027866,0.5161836802932499,0.8376440961154884,[0.861402   0.17096536],0.7625079164027866,0.09715242881072027,0.7116564417177914,0.7643200699606472,0.7379882558392192,"[3496, 1078, 47, 116]"
commons-csv,MLP,2,model1,ROS,0.7918513827316868,0.5444165130069114,0.8570590825732203,[0.88016529 0.20866774],0.7918513827316868,0.12003693444136658,0.7975460122699386,0.7916484477481417,0.7945972300090401,"[3621, 953, 33, 130]"
commons-csv,RandomForest,2,model2,ROS,0.9417352754908169,0.6959569199514057,0.9505068909033529,[0.9693197  0.42259414],0.9417352754908169,0.32063492063492066,0.6196319018404908,0.9532138172278094,0.78642285953415,"[4360, 214, 62, 101]"
commons-csv,DT,2,model2,ROS,0.9430018999366687,0.6928121811610494,0.9509611518088288,[0.97003995 0.41558442],0.9430018999366688,0.3210702341137124,0.588957055214724,0.9556187144731089,0.7722878848439164,"[4371, 203, 67, 96]"
commons-csv,LogisticRegression,2,model2,ROS,0.7724298078952924,0.5249607241491968,0.844231308648766,[0.86782737 0.18209408],0.7724298078952924,0.1038961038961039,0.7361963190184049,0.7737210319195452,0.754958675468975,"[3539, 1035, 43, 120]"
commons-csv,MLP,2,model2,ROS,0.9123918091619168,0.6644144701633753,0.9330362880225517,[0.95288909 0.37593985],0.9123918091619169,0.24900398406374502,0.7668711656441718,0.9175776125929165,0.8422243891185441,"[4197, 377, 38, 125]"
commons-csv,RandomForest,2,model3,ROS,0.7538526493561326,0.5066929485484828,0.8318410070818986,[0.85587145 0.15751445],0.7538526493561326,0.08927108927108927,0.6687116564417178,0.7568867512024486,0.7127992038220833,"[3462, 1112, 54, 109]"
commons-csv,DT,2,model3,ROS,0.7538526493561326,0.5066929485484828,0.8318410070818986,[0.85587145 0.15751445],0.7538526493561326,0.08927108927108927,0.6687116564417178,0.7568867512024486,0.7127992038220833,"[3462, 1112, 54, 109]"
commons-csv,LogisticRegression,2,model3,ROS,0.5305045387375976,0.3821833849710722,0.6640638715131418,[0.68489657 0.0794702 ],0.5305045387375976,0.0426098535286285,0.588957055214724,0.5284215128989943,0.5586892840568591,"[2417, 2157, 67, 96]"
commons-csv,MLP,2,model3,ROS,0.7606079797340088,0.5096008270335686,0.8363026714011232,[0.86044794 0.15875371],0.7606079797340088,0.09029535864978903,0.656441717791411,0.7643200699606472,0.7103808938760291,"[3496, 1078, 56, 107]"
commons-csv,RandomForest,2,model1,SMOTE,0.9119696010132996,0.5840303087160301,0.927953327813333,[0.95337135 0.21468927],0.9119696010132996,0.15489130434782608,0.3496932515337423,0.9320069960647136,0.6408501237992279,"[4263, 311, 106, 57]"
commons-csv,DT,2,model1,SMOTE,0.7815072830905636,0.49721755761396524,0.8492675236659796,[0.87528618 0.11914894],0.7815072830905636,0.0691699604743083,0.4294478527607362,0.7940533449934412,0.6117505988770886,"[3632, 942, 93, 70]"
commons-csv,LogisticRegression,2,model1,SMOTE,0.7557525860249102,0.5096191244558976,0.8331276759996745,[0.85703695 0.1622013 ],0.7557525860249102,0.09195402298850575,0.6871165644171779,0.7581985133362483,0.7226575388767131,"[3468, 1106, 51, 112]"
commons-csv,MLP,2,model1,SMOTE,0.8157061431285624,0.5549165223828373,0.8721650102784227,[0.89561162 0.21422142],0.8157061431285624,0.12552742616033755,0.7300613496932515,0.8187581985133362,0.7744097741032939,"[3745, 829, 44, 119]"
commons-csv,RandomForest,2,model2,SMOTE,0.95672366476673,0.6950708482160379,0.9580951357741744,[0.97753425 0.41260745],0.95672366476673,0.3870967741935484,0.44171779141104295,0.9750765194578049,0.708397155434424,"[4460, 114, 91, 72]"
commons-csv,DT,2,model2,SMOTE,0.8786151572725354,0.5500023542570336,0.908083153195121,[0.93454752 0.16545718],0.8786151572725354,0.10836501901140684,0.3496932515337423,0.8974639265413205,0.6235785890375314,"[4105, 469, 106, 57]"
commons-csv,LogisticRegression,2,model2,SMOTE,0.781296179016255,0.5296119676286961,0.8500099637125408,[0.87368934 0.18553459],0.781296179016255,0.10640216411181244,0.7239263803680982,0.7833406209007433,0.7536335006344207,"[3583, 991, 45, 118]"
commons-csv,MLP,2,model2,SMOTE,0.9176694110196326,0.6654661016949153,0.935942347119503,[0.9559322 0.375    ],0.9176694110196327,0.25379609544468545,0.7177914110429447,0.9247923043288151,0.8212918576858799,"[4230, 344, 46, 117]"
commons-csv,RandomForest,2,model3,SMOTE,0.7859404686510449,0.5216641996277932,0.8527413432408474,[0.87720998 0.16611842],0.7859404686510449,0.09591642924976258,0.6196319018404908,0.7918670747704416,0.7057494883054662,"[3622, 952, 62, 101]"
commons-csv,DT,2,model3,SMOTE,0.7855182605024277,0.5213918165501967,0.8524693227375486,[0.87693798 0.16584565],0.7855182605024277,0.09573459715639811,0.6196319018404908,0.7914298207258417,0.7055308612831661,"[3620, 954, 62, 101]"
commons-csv,LogisticRegression,2,model3,SMOTE,0.5305045387375976,0.3821833849710722,0.6640638715131418,[0.68489657 0.0794702 ],0.5305045387375976,0.0426098535286285,0.588957055214724,0.5284215128989943,0.5586892840568591,"[2417, 2157, 67, 96]"
commons-csv,MLP,2,model3,SMOTE,0.7475195271268735,0.5040488792836604,0.8276249647420556,[0.85153923 0.15655853],0.7475195271268735,0.08844621513944223,0.6809815950920245,0.74989068648885,0.7154361407904373,"[3430, 1144, 52, 111]"
commons-csv,RandomForest,2,model1,ADA,0.9115473928646823,0.587870136099411,0.9279702741631584,[0.95310576 0.22263451],0.9115473928646823,0.1595744680851064,0.36809815950920244,0.9309138609532138,0.6495060102312081,"[4258, 316, 103, 60]"
commons-csv,DT,2,model1,ADA,0.8216170572092041,0.5212956988829378,0.8743653981305821,[0.90045942 0.14213198],0.8216170572092041,0.0851581508515815,0.4294478527607362,0.8355924792304329,0.6325201659955846,"[3822, 752, 93, 70]"
commons-csv,LogisticRegression,2,model1,ADA,0.7422419252691577,0.5031619552092352,0.8240937105148707,[0.84781254 0.15851137],0.7422419252691577,0.08928571428571429,0.7055214723926381,0.7435505028421513,0.7245359876173947,"[3401, 1173, 48, 115]"
commons-csv,MLP,2,model1,ADA,0.7903736542115263,0.5383489075507532,0.8559720954138018,[0.8794464  0.19725141],0.7903736542115263,0.11359404096834265,0.7484662576687117,0.7918670747704416,0.7701666662195766,"[3622, 952, 41, 122]"
commons-csv,RandomForest,2,model2,ADA,0.9541904158750264,0.7047753021164306,0.9574556114387013,[0.97613024 0.43342037],0.9541904158750264,0.37727272727272726,0.50920245398773,0.970048097944906,0.739625275966318,"[4437, 137, 80, 83]"
commons-csv,DT,2,model2,ADA,0.8838927591302512,0.6037418173411531,0.913996852297646,[0.93692661 0.27055703],0.8838927591302512,0.17258883248730963,0.6257668711656442,0.8930913860953213,0.7594291286304826,"[4085, 489, 61, 102]"
commons-csv,LogisticRegression,2,model2,ADA,0.7669411019632679,0.5207936411358633,0.8406040828765649,[0.86424004 0.17734724],0.7669411019632679,0.10093299406276506,0.7300613496932515,0.7682553563620463,0.7491583530276489,"[3514, 1060, 44, 119]"
commons-csv,MLP,2,model2,ADA,0.9208359721342622,0.6668884441254882,0.9377207811773987,[0.95773695 0.37603993],0.9208359721342622,0.2579908675799087,0.6932515337423313,0.9289462177525142,0.8110988757474227,"[4249, 325, 50, 113]"
commons-csv,RandomForest,2,model3,ADA,0.774963056786996,0.5153466524875516,0.8456518037320999,[0.87006338 0.16062992],0.774963056786996,0.0921409214092141,0.6257668711656442,0.780279842588544,0.7030233568770942,"[3569, 1005, 61, 102]"
commons-csv,DT,2,model3,ADA,0.774963056786996,0.5153466524875516,0.8456518037320999,[0.87006338 0.16062992],0.774963056786996,0.0921409214092141,0.6257668711656442,0.780279842588544,0.7030233568770942,"[3569, 1005, 61, 102]"
commons-csv,LogisticRegression,2,model3,ADA,0.5368376609668567,0.38340365698826484,0.6698181265394999,[0.69098592 0.0758214 ],0.5368376609668567,0.0407055630936228,0.5521472392638037,0.5362920857017928,0.5442196624827982,"[2453, 2121, 73, 90]"
