Proj,Fs,App,window,Algorithm,F1,Acc,Sen,AUC,RS
easymock,Evo,slw,4,MLP,0.92824142,0.8668976205670526,0.5076923076923077,0.6894490692442534,RUS
easymock,Evo,slw,4,RandomForest,0.52506291,0.3633877290546084,0.9692307692307692,0.6626760913226455,SMOTE
pdfbox,Str,slw,2,DT,0.90192574,0.8381447479998525,0.8666212997618238,0.8506526942077395,ENN
pdfbox,Str,slw,2,LogisticRegression,0.8178492,0.7099878332042916,0.5437223545423614,0.6369579354584118,SMOTE
pdfbox,Str,slw,2,MLP,0.88582882,0.8141429782841131,0.8594760122490643,0.8340549098625408,ROS
pdfbox,Str,slw,2,RandomForest,0.90866334,0.8482100062677432,0.8598162640353861,0.8533079004596381,ROS
pdfbox,StrEvo,slw,2,DT,0.95690688,0.9257456771006156,0.9350119088125212,0.9298157460040112,ENN
pdfbox,StrEvo,slw,2,LogisticRegression,0.87651992,0.7996902997456034,0.8189860496767608,0.8081657009879007,ROS
pdfbox,StrEvo,slw,2,MLP,0.93657326,0.8926003760645946,0.9197005784280368,0.9045037791247033,ROS
pdfbox,StrEvo,slw,2,RandomForest,0.96897425,0.9458024554805884,0.9179993194964272,0.9335902981868508,ROS
pdfbox,Evo,slw,2,DT,0.89450296,0.824945618110091,0.7642055120789384,0.7982663352654037,NONE
pdfbox,Evo,slw,2,LogisticRegression,0.89450296,0.824945618110091,0.7642055120789384,0.7982663352654037,RUS
pdfbox,Evo,slw,2,MLP,0.89450296,0.824945618110091,0.7642055120789384,0.7982663352654037,RUS
pdfbox,Evo,slw,2,RandomForest,0.89450296,0.824945618110091,0.7642055120789384,0.7982663352654037,NONE
pdfbox,Str,slw,3,DT,0.94886544,0.9104394732666984,0.8162932790224032,0.86844456981836,TL
pdfbox,Str,slw,3,LogisticRegression,0.82029839,0.7119228938600667,0.5588594704684318,0.6436473386090017,RUS
pdfbox,Str,slw,3,MLP,0.90858438,0.8464223385689355,0.8545824847250509,0.8500622578742362,ROS
pdfbox,Str,slw,3,RandomForest,0.91424528,0.8557829604950024,0.8936863543788187,0.8726901693236977,RUS
pdfbox,StrEvo,slw,3,DT,0.97369065,0.953077899412978,0.8708757637474541,0.9164107693369252,ADA
pdfbox,StrEvo,slw,3,LogisticRegression,0.88393136,0.8087022052990639,0.8244399185336049,0.815722178364223,RUS
