Proj,Fs,App,window,Algorithm,F1,Acc,Sen,AUC,RS
commons-bcel,StrEvo,slw,4,LogisticRegression,0.90895799,0.8363489335894067,0.8558692421991084,0.8458826318559495,SMOTE
commons-bcel,StrEvo,slw,4,MLP,0.92431222,0.8621584285184811,0.9034175334323924,0.8823093321164582,RUS
commons-bcel,StrEvo,slw,4,RandomForest,0.90947274,0.8373260554600896,0.8900445765230312,0.8630737258951087,RUS
commons-csv,Evo,trad,0,DT,0.83750277,0.726068296323941,0.6666666666666666,0.6972933102430888,RUS
commons-csv,Evo,trad,0,LogisticRegression,0.87799195,0.7850345213659264,0.382716049382716,0.5901457868618409,RUS
commons-csv,Evo,trad,0,MLP,0.83440479,0.7212166448964359,0.6234567901234568,0.6738603942920537,ROS
commons-csv,Evo,trad,0,RandomForest,0.83685901,0.7251352864340362,0.6666666666666666,0.6968122634853441,RUS
commons-csv,Evo,slw,2,DT,0.85597725,0.7540637534304412,0.6748466257668712,0.71586668848466,ENN
commons-csv,Evo,slw,2,LogisticRegression,0.68826025,0.5347266202237703,0.6134969325153374,0.5727082388855655,RUS
commons-csv,Evo,slw,2,MLP,0.85153923,0.7475195271268735,0.6809815950920245,0.7154361407904373,SMOTE
commons-csv,Evo,slw,2,RandomForest,0.85587145,0.7538526493561326,0.6687116564417178,0.7127992038220833,ROS
commons-csv,Evo,slw,3,DT,0.88302551,0.7955643390425999,0.6855345911949685,0.7425397643119326,ROS
commons-csv,Evo,slw,3,LogisticRegression,0.73198519,0.5867369345630216,0.6415094339622641,0.6131324189151479,RUS
commons-csv,Evo,slw,3,MLP,0.89052369,0.8072024593763725,0.660377358490566,0.7364457895979565,SMOTE
commons-csv,Evo,slw,3,RandomForest,0.88302551,0.7955643390425999,0.6855345911949685,0.7425397643119326,ROS
commons-csv,Evo,slw,4,DT,0.87120308,0.7778032036613273,0.8518518518518519,0.8136472954654773,RUS
commons-csv,Evo,slw,4,LogisticRegression,0.80698835,0.6814645308924485,0.5037037037037037,0.5954173772355591,RUS
commons-csv,Evo,slw,4,MLP,0.88,0.7913043478260869,0.8444444444444444,0.8170274170274171,ADA
commons-csv,Evo,slw,4,RandomForest,0.90143023,0.8249427917620137,0.7925925925925926,0.8092833092833094,NONE
commons-csv,Str,trad,0,DT,0.85231512,0.748833737637619,0.7962962962962963,0.7718252695643498,RUS
commons-csv,Str,trad,0,LogisticRegression,0.8880178,0.8027617092741183,0.6851851851851852,0.7458059849343281,ADA
commons-csv,Str,trad,0,MLP,0.90977209,0.8382160850905019,0.7469135802469136,0.7939878657440071,ROS
commons-csv,Str,trad,0,RandomForest,0.86137751,0.7626422840082104,0.8333333333333334,0.7968860239881984,RUS
commons-csv,Str,slw,2,DT,0.91602519,0.8480050664977834,0.5521472392638037,0.705347777917866,ENN
commons-csv,Str,slw,2,LogisticRegression,0.861402,0.7625079164027866,0.7116564417177914,0.7379882558392192,ROS
commons-csv,Str,slw,2,MLP,0.88016529,0.7918513827316868,0.7975460122699386,0.7945972300090401,ROS
commons-csv,Str,slw,2,RandomForest,0.83984868,0.7318978256280346,0.8404907975460123,0.7842593909024334,RUS
commons-csv,Str,slw,3,DT,0.86200717,0.7632850241545893,0.6855345911949685,0.7258162148238779,RUS
commons-csv,Str,slw,3,LogisticRegression,0.84600339,0.7406675450153711,0.8113207547169812,0.7747161225234508,ROS
commons-csv,Str,slw,3,MLP,0.83882832,0.730566534914361,0.8427672955974843,0.7846373451821324,RUS
commons-csv,Str,slw,3,RandomForest,0.85577792,0.7547211242863416,0.7735849056603774,0.7638117929894607,RUS
commons-csv,Str,slw,4,DT,0.87738707,0.7869565217391304,0.8,0.7932703659976387,RUS
commons-csv,Str,slw,4,LogisticRegression,0.88633694,0.8006864988558352,0.762962962962963,0.7824259915169006,ROS
commons-csv,Str,slw,4,MLP,0.92832936,0.8693363844393592,0.7481481481481481,0.8106738379465652,ROS
commons-csv,Str,slw,4,RandomForest,0.88132475,0.7933638443935926,0.8444444444444444,0.8180899908172636,RUS
commons-csv,StrEvo,trad,0,DT,0.87528247,0.7837283075200597,0.8209876543209876,0.8017772599101571,RUS
commons-csv,StrEvo,trad,0,LogisticRegression,0.89090717,0.8072401567456615,0.6666666666666666,0.739144378166891,ROS
commons-csv,StrEvo,trad,0,MLP,0.95689398,0.9192013435342414,0.7407407407407407,0.8327525139147229,ROS
commons-csv,StrEvo,trad,0,RandomForest,0.87795445,0.7880201530136219,0.845679012345679,0.8159509166019332,RUS
commons-csv,StrEvo,slw,2,DT,0.96756214,0.9385687143761876,0.6503067484662577,0.7995740126240339,ENN
commons-csv,StrEvo,slw,2,LogisticRegression,0.86782737,0.7724298078952924,0.7361963190184049,0.754958675468975,ROS
commons-csv,StrEvo,slw,2,MLP,0.95288909,0.9123918091619168,0.7668711656441718,0.8422243891185441,ROS
commons-csv,StrEvo,slw,2,RandomForest,0.87587135,0.7857293645767364,0.8650306748466258,0.8239670208513845,RUS
commons-csv,StrEvo,slw,3,DT,0.8703751,0.7768994290733421,0.7987421383647799,0.7874256766909224,RUS
commons-csv,StrEvo,slw,3,LogisticRegression,0.86143959,0.7632850241545893,0.7861635220125787,0.7743104299482689,ROS
commons-csv,StrEvo,slw,3,MLP,0.88549811,0.800614844093105,0.8490566037735849,0.823959473672913,RUS
commons-csv,StrEvo,slw,3,RandomForest,0.86803069,0.7733860342555995,0.8050314465408805,0.7886363148517826,RUS
commons-csv,StrEvo,slw,4,DT,0.87640449,0.7860411899313501,0.8888888888888888,0.8358257903712448,RUS
commons-csv,StrEvo,slw,4,LogisticRegression,0.88601645,0.8002288329519451,0.7703703703703704,0.7857755039573222,ROS
commons-csv,StrEvo,slw,4,MLP,0.98345829,0.968192219679634,0.7333333333333333,0.8545060999606454,ROS
