Proj,Fs,App,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS
commons-csv,model3,trad,0.83750277,0.726068296323941,0.6666666666666666,0.6972933102430888,RUS,0.87799195,0.7850345213659264,0.382716049382716,0.5901457868618409,RUS,0.83440479,0.7212166448964359,0.6234567901234568,0.6738603942920537,ROS,0.83685901,0.7251352864340362,0.6666666666666666,0.6968122634853441,RUS
commons-csv,model3,slw,0.87120308,0.7778032036613273,0.8518518518518519,0.8136472954654773,RUS,0.73198519,0.5867369345630216,0.6415094339622641,0.6131324189151479,RUS,0.88,0.7913043478260869,0.8444444444444444,0.8170274170274171,ADA,0.90143023,0.8249427917620137,0.7925925925925926,0.8092833092833094,NONE
commons-io,model1,trad,0.81260299,0.6879553410918725,0.6325459317585301,0.660759163306639,RUS,0.82513001,0.7056959031128773,0.6299212598425197,0.6685040128764075,ROS,0.84935129,0.7412716434856657,0.6614173228346457,0.7020773563154296,ROS,0.79441522,0.6635443277509698,0.7480314960629921,0.7050125202047388,RUS
commons-io,model1,slw,0.82674619,0.7088367185439198,0.6767676767676768,0.693144331944914,RUS,0.76051371,0.62025850699024,0.8282828282828283,0.7220513230804734,SMOTE,0.85674889,0.7533632286995515,0.7575757575757576,0.7554245510223742,ROS,0.80520694,0.6792472180913799,0.7851851851851852,0.7310928020605441,RUS
commons-io,model2,trad,0.96424852,0.9317816255085628,0.6561679790026247,0.796504281451016,ENN,0.87201384,0.7759485287160564,0.7034120734908137,0.7403460136206778,SMOTE,0.94695362,0.9006528526823729,0.7716535433070866,0.8373371055168184,ROS,0.88365859,0.7946825622102375,0.8293963254593176,0.811720853869997,RUS
commons-io,model2,slw,0.88959745,0.8043679035149671,0.8164383561643835,0.8102810337522949,RUS,0.8507688,0.7445001318913216,0.7752525252525253,0.7595482411811417,ROS,0.96901175,0.9408599314165128,0.7752525252525253,0.8598230404698964,ROS,0.89376147,0.8112674525995546,0.8767123287671232,0.8433278970074394,RUS
commons-io,model3,trad,0.91059879,0.8378276090453213,0.6614173228346457,0.751241493714861,ROS,0.90333054,0.8253382533825339,0.5144356955380578,0.6727403221150327,RUS,0.91277088,0.8413757214495222,0.6351706036745407,0.7401656361823106,ADA,0.91014402,0.8370706783990917,0.6614173228346457,0.7508560815647429,ROS
commons-io,model3,slw,0.91695502,0.8487531917205411,0.6931506849315069,0.7725259022706531,NONE,0.89425357,0.8110501439669691,0.6109589041095891,0.713028504266301,RUS,0.8877989,0.801162601184332,0.7315068493150685,0.7670393131399641,ROS,0.91776208,0.8501113706742001,0.6931506849315069,0.7732187301167899,TL
easymock,model1,trad,0.938893,0.8856571252693136,0.6619718309859155,0.7750500200518499,ROS,0.83239819,0.7149892274546014,0.6619718309859155,0.6887733746496405,ADA,0.92003353,0.853185595567867,0.7887323943661971,0.8213150068921384,ROS,0.93733778,0.8829639889196675,0.6971830985915493,0.7910997179592257,ROS
easymock,model1,slw,0.95724049,0.9185790908291568,0.656,0.7887485775248934,NONE,0.86156744,0.7587747287811104,0.6846153846153846,0.7221397801386731,ADA,0.937117,0.8827046513672734,0.792,0.8378563300142248,ROS,0.85770771,0.7531873736041502,0.848,0.8000668563300142,RUS
easymock,model2,trad,0.85349468,0.7466143428747307,0.7816901408450704,0.7639584981493129,RUS,0.83482344,0.7185287780855648,0.6619718309859155,0.6905627009293978,SMOTE,0.94860595,0.9031240381655894,0.8309859154929577,0.8674534369747346,ROS,0.95906763,0.9218990458602648,0.6338028169014085,0.7794422517679596,ROS
easymock,model2,slw,0.98062243,0.962279082036402,0.712,0.838530227596017,ENN,0.88840061,0.8008934269304403,0.7076923076923077,0.7548517816715989,ROS,0.97542138,0.9524311966939242,0.776,0.865195945945946,ROS,0.87246307,0.776371666383557,0.9,0.8373881624225741,RUS
easymock,model3,trad,0.41754321,0.2713911972914743,0.9366197183098592,0.6003310198831076,ENN,0.44255165,0.2899353647276085,0.7394366197183099,0.5122031394841744,ENN,0.41468975,0.2690827947060634,0.9295774647887324,0.5956818395983494,SMOTE,0.41754321,0.2713911972914743,0.9366197183098592,0.6003310198831076,ENN
easymock,model3,slw,0.92523042,0.8617011578083691,0.5076923076923077,0.6868196753887316,RUS,0.91146691,0.8381803263743276,0.4384615384615384,0.6407179912992257,ROS,0.92824142,0.8668976205670526,0.5076923076923077,0.6894490692442534,RUS,0.52506291,0.3633877290546084,0.9692307692307692,0.6626760913226455,SMOTE
pdfbox,model1,trad,0.89540241,0.8268306933264087,0.8991138377641446,0.8591680260069915,ROS,0.8047488,0.6914437808361464,0.5835037491479209,0.6431546154794637,ENN,0.87371058,0.7921643728901584,0.7689161554192229,0.7817638106507034,ROS,0.89635174,0.8282913528953518,0.9011588275391956,0.8608900975609445,ROS
pdfbox,model1,slw,0.94886544,0.9104394732666984,0.8162932790224032,0.86844456981836,TL,0.80987721,0.6975745868212063,0.6355283307810107,0.6693998984238761,SMOTE,0.90858438,0.8464223385689355,0.8545824847250509,0.8500622578742362,ROS,0.91424528,0.8557829604950024,0.8936863543788187,0.8726901693236977,RUS
pdfbox,model2,trad,0.94242152,0.900220721890418,0.878323108384458,0.8904243797644469,ROS,0.85765393,0.7675279148273175,0.7055214723926381,0.7397880734998994,ROS,0.89162571,0.8203388730199948,0.8534423994546694,0.8351484078782997,ROS,0.94477222,0.9039859776681382,0.8687798227675528,0.8882357892628034,ROS
pdfbox,model2,slw,0.95690688,0.9257456771006156,0.9350119088125212,0.9298157460040112,ENN,0.89240911,0.8192315947628246,0.8269525267993875,0.8227376057319022,RUS,0.96262817,0.9340790099952404,0.8737270875763747,0.907158398118723,ROS,0.98589625,0.9746152625733776,0.8973523421588595,0.9401513215825716,ADA
pdfbox,model3,trad,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS
pdfbox,model3,slw,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS
