file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,nextRecord/0,false,763,4,25,19,6,12,11,47,1,4,0,11,2,3,1,4,0,0,3,0,8,3,3,0,0,0,53,0,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,getCurrentLineNumber/0,false,552,1,5,4,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,getRecordNumber/0,false,633,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,isClosed/0,false,717,1,3,2,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,getHeaderComment/0,false,573,0,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,iterator/0,false,752,2,40,40,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,stream/0,false,819,2,4,3,1,1,3,3,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,getHeaderNames/0,false,619,0,8,8,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,"CSVParser/4[java.io.Reader,org.apache.commons.csv.CSVFormat,long,long]",true,431,5,7,2,5,1,4,10,0,0,4,4,1,5,0,0,0,0,3,1,6,1,0,0,0,0,73,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,hasTrailerComment/0,false,708,0,7,7,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,getHeaderMap/0,false,589,1,7,6,1,2,2,8,2,1,0,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,36,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,"parse/3[java.net.URL,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat]",false,350,2,5,4,1,1,4,6,1,0,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,57,9,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,"parse/3[java.nio.file.Path,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat]",false,278,2,6,5,1,1,4,5,1,0,3,4,1,2,0,0,0,0,3,0,0,0,0,0,0,0,46,9,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,getRecords/0,false,649,2,44,43,1,1,3,3,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,isStrictQuoteMode/0,false,727,1,2,1,1,3,1,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,2,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,getTrailerComment/0,false,660,0,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,hasHeaderComment/0,false,695,0,7,7,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,"parse/3[java.io.InputStream,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat]",false,255,2,4,3,1,1,3,5,1,0,3,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,63,9,0,true
