file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv206Test.java,org.apache.commons.csv.issues.JiraCsv206Test,class,6,6,0,6,1,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,0,16,9,14,1,12,1,0,0,0,37,1,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/Lexer.java,org.apache.commons.csv.Lexer,class,5,9,4,5,104,1,0,42,58,0.8537415,0.0,0.0,21,0,1,4,0,16,17,0,0,0,14,3,0,14,0,0,12,0,5,299,36,9,32,0,0,5,18,60,11,29,5,0,0,0,224,16,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVRecordTest.java,org.apache.commons.csv.CSVRecordTest,class,10,11,1,10,35,1,0,70,9,0.6532258,0.0,0.0,31,0,30,1,0,0,30,0,0,0,3,0,0,3,0,0,0,0,8,236,0,2,0,10,0,51,32,42,5,44,2,0,2,11,122,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVBenchmark.java,org.apache.commons.csv.CSVBenchmark$CountingReaderCallback,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest$Stats,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,10,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/Token.java,org.apache.commons.csv.Token$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$Headers,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,15,26,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java,org.apache.commons.csv.CSVParserTest,class,16,17,1,16,159,1,0,117,7365,0.97123206,0.0,0.0,123,0,115,7,0,1,116,0,0,0,13,12,0,12,0,1,12,0,99,1151,5,30,3,98,0,560,188,335,23,319,3,0,0,25,277,1,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVPrinter.java,org.apache.commons.csv.CSVPrinter,class,4,16,12,4,44,1,0,39,101,0.7037037,0.0,0.0,18,0,17,1,0,0,17,0,0,6,3,0,0,3,0,0,2,0,6,145,2,6,4,2,3,3,4,11,2,11,3,0,0,2,229,17,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/ExtendedBufferedReaderTest.java,org.apache.commons.csv.ExtendedBufferedReaderTest,class,4,5,1,4,10,1,0,10,21,0.0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,157,1,3,3,12,0,27,56,27,3,23,2,0,0,0,39,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVBenchmark.java,org.apache.commons.csv.CSVBenchmark,class,24,25,1,24,19,1,0,30,53,0.8181818,0.0,0.0,11,0,10,1,0,0,10,0,0,0,1,0,0,1,0,0,0,0,1,120,10,8,5,10,1,4,14,31,0,30,2,0,1,0,65,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv93Test.java,org.apache.commons.csv.issues.JiraCsv93Test,class,6,7,1,6,5,1,0,12,4,0.625,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,2,0,2,0,0,0,0,0,38,0,1,0,1,0,104,3,6,0,6,2,0,0,0,83,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatPredefinedTest.java,org.apache.commons.csv.CSVFormatPredefinedTest,class,4,5,1,4,11,1,0,5,55,0.0,0.0,0.0,11,0,10,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,1,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/IOUtils.java,org.apache.commons.csv.IOUtils,class,3,7,4,3,8,1,0,8,11,0.6666667,0.0,0.0,6,5,0,1,0,5,5,0,0,0,2,2,0,1,0,1,2,0,3,34,4,2,2,0,3,1,7,8,1,6,1,0,0,0,89,16,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest$EmptyEnum,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java,org.apache.commons.csv.CSVFormat$Predefined,enum,1,1,0,1,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,20,1,0,0,0,0,0,0,1,0,1,0,0,0,0,30,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/LexerTest.java,org.apache.commons.csv.LexerTest,class,8,9,1,8,33,1,0,22,318,0.54545456,0.0,0.0,33,0,32,1,0,0,32,0,0,0,1,0,0,1,0,0,0,0,118,282,1,0,0,30,0,201,0,55,23,55,1,0,0,1,97,1,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,org.apache.commons.csv.ExtendedBufferedReader,class,2,9,7,2,37,3,0,10,28,0.6666667,0.0,0.0,12,0,5,0,0,7,12,0,0,0,4,0,0,4,0,0,0,0,0,100,13,2,22,0,1,0,9,17,5,14,4,0,0,0,150,16,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv265Test.java,org.apache.commons.csv.issues.JiraCsv265Test,class,5,5,0,5,2,1,0,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,20,0,12,2,12,1,0,0,0,38,1,0
